;;;;;;;;
Date;;Visitor/Neutral;PTS;Home/Neutral;PTS;;Notes;Stanley's Predition
Wed Jan 28 2015;;Portland Trail Blazers;;Cleveland Cavaliers;;;;0
Wed Jan 28 2015;;Dallas Mavericks;;Houston Rockets;;;;1
Wed Jan 28 2015;;Boston Celtics;;Minnesota Timberwolves;;;;0
Wed Jan 28 2015;;Denver Nuggets;;New Orleans Pelicans;;;;1
Wed Jan 28 2015;;Oklahoma City Thunder;;New York Knicks;;;;1
Wed Jan 28 2015;;Detroit Pistons;;Philadelphia 76ers;;;;1
Wed Jan 28 2015;;Washington Wizards;;Phoenix Suns;;;;0
Wed Jan 28 2015;;Charlotte Hornets;;San Antonio Spurs;;;;0
Wed Jan 28 2015;;Sacramento Kings;;Toronto Raptors;;;;1
Wed Jan 28 2015;;Los Angeles Clippers;;Utah Jazz;;;;0
Thu Jan 29 2015;;New York Knicks;;Indiana Pacers;;;;1
Thu Jan 29 2015;;Chicago Bulls;;Los Angeles Lakers;;;;0
Thu Jan 29 2015;;Denver Nuggets;;Memphis Grizzlies;;;;0
Thu Jan 29 2015;;Milwaukee Bucks;;Orlando Magic;;;;0
Fri Jan 30 2015;;Portland Trail Blazers;;Atlanta Hawks;;;;1
Fri Jan 30 2015;;Houston Rockets;;Boston Celtics;;;;1
Fri Jan 30 2015;;Toronto Raptors;;Brooklyn Nets;;;;0
Fri Jan 30 2015;;Sacramento Kings;;Cleveland Cavaliers;;;;1
Fri Jan 30 2015;;Dallas Mavericks;;Miami Heat;;;;1
Fri Jan 30 2015;;Los Angeles Clippers;;New Orleans Pelicans;;;;0
Fri Jan 30 2015;;Minnesota Timberwolves;;Philadelphia 76ers;;;;0
Fri Jan 30 2015;;Chicago Bulls;;Phoenix Suns;;;;1
Fri Jan 30 2015;;Golden State Warriors;;Utah Jazz;;;;0
Sat Jan 31 2015;;Philadelphia 76ers;;Atlanta Hawks;;;;0
Sat Jan 31 2015;;Charlotte Hornets;;Denver Nuggets;;;;1
Sat Jan 31 2015;;Houston Rockets;;Detroit Pistons;;;;0
Sat Jan 31 2015;;Phoenix Suns;;Golden State Warriors;;;;1
Sat Jan 31 2015;;Sacramento Kings;;Indiana Pacers;;;;0
Sat Jan 31 2015;;Oklahoma City Thunder;;Memphis Grizzlies;;;;1
Sat Jan 31 2015;;Portland Trail Blazers;;Milwaukee Bucks;;;;1
Sat Jan 31 2015;;Cleveland Cavaliers;;Minnesota Timberwolves;;;;1
Sat Jan 31 2015;;Dallas Mavericks;;Orlando Magic;;;;0
Sat Jan 31 2015;;Los Angeles Clippers;;San Antonio Spurs;;;;0
Sat Jan 31 2015;;Toronto Raptors;;Washington Wizards;;;;0
Sun Feb 1 2015;;Miami Heat;;Boston Celtics;;;;0
Sun Feb 1 2015;;Los Angeles Lakers;;New York Knicks;;;;1
Mon Feb 2 2015;;Los Angeles Clippers;;Brooklyn Nets;;;;0
Mon Feb 2 2015;;Philadelphia 76ers;;Cleveland Cavaliers;;;;0
Mon Feb 2 2015;;Minnesota Timberwolves;;Dallas Mavericks;;;;1
Mon Feb 2 2015;;Atlanta Hawks;;New Orleans Pelicans;;;;0
Mon Feb 2 2015;;Orlando Magic;;Oklahoma City Thunder;;;;1
Mon Feb 2 2015;;Memphis Grizzlies;;Phoenix Suns;;;;0
Mon Feb 2 2015;;Milwaukee Bucks;;Toronto Raptors;;;;0
Mon Feb 2 2015;;Charlotte Hornets;;Washington Wizards;;;;1
Tue Feb 3 2015;;Miami Heat;;Detroit Pistons;;;;1
Tue Feb 3 2015;;Boston Celtics;;New York Knicks;;;;1
Tue Feb 3 2015;;Denver Nuggets;;Philadelphia 76ers;;;;0
Tue Feb 3 2015;;Utah Jazz;;Portland Trail Blazers;;;;1
Tue Feb 3 2015;;Golden State Warriors;;Sacramento Kings;;;;0
Wed Feb 4 2015;;Washington Wizards;;Atlanta Hawks;;;;0
Wed Feb 4 2015;;Denver Nuggets;;Boston Celtics;;;;0
Wed Feb 4 2015;;Dallas Mavericks;;Golden State Warriors;;;;0
Wed Feb 4 2015;;Chicago Bulls;;Houston Rockets;;;;0
Wed Feb 4 2015;;Detroit Pistons;;Indiana Pacers;;;;0
Wed Feb 4 2015;;Los Angeles Lakers;;Milwaukee Bucks;;;;1
Wed Feb 4 2015;;Miami Heat;;Minnesota Timberwolves;;;;0
Wed Feb 4 2015;;Oklahoma City Thunder;;New Orleans Pelicans;;;;0
Wed Feb 4 2015;;Orlando Magic;;San Antonio Spurs;;;;0
Wed Feb 4 2015;;Brooklyn Nets;;Toronto Raptors;;;;1
Wed Feb 4 2015;;Memphis Grizzlies;;Utah Jazz;;;;1
Thu Feb 5 2015;;Washington Wizards;;Charlotte Hornets;;;;0
Thu Feb 5 2015;;Los Angeles Clippers;;Cleveland Cavaliers;;;;0
Thu Feb 5 2015;;Phoenix Suns;;Portland Trail Blazers;;;;1
Thu Feb 5 2015;;Dallas Mavericks;;Sacramento Kings;;;;1
Fri Feb 6 2015;;Golden State Warriors;;Atlanta Hawks;;;;0
Fri Feb 6 2015;;Philadelphia 76ers;;Boston Celtics;;;;0
Fri Feb 6 2015;;New York Knicks;;Brooklyn Nets;;;;1
Fri Feb 6 2015;;Denver Nuggets;;Detroit Pistons;;;;0
Fri Feb 6 2015;;Milwaukee Bucks;;Houston Rockets;;;;1
Fri Feb 6 2015;;Cleveland Cavaliers;;Indiana Pacers;;;;1
Fri Feb 6 2015;;Memphis Grizzlies;;Minnesota Timberwolves;;;;0
Fri Feb 6 2015;;New Orleans Pelicans;;Oklahoma City Thunder;;;;0
Fri Feb 6 2015;;Los Angeles Lakers;;Orlando Magic;;;;0
Fri Feb 6 2015;;Utah Jazz;;Phoenix Suns;;;;0
Fri Feb 6 2015;;Miami Heat;;San Antonio Spurs;;;;0
Fri Feb 6 2015;;Los Angeles Clippers;;Toronto Raptors;;;;0
Sat Feb 7 2015;;Portland Trail Blazers;;Dallas Mavericks;;;;0
Sat Feb 7 2015;;Boston Celtics;;Milwaukee Bucks;;;;0
Sat Feb 7 2015;;Chicago Bulls;;New Orleans Pelicans;;;;1
Sat Feb 7 2015;;Golden State Warriors;;New York Knicks;;;;1
Sat Feb 7 2015;;Charlotte Hornets;;Philadelphia 76ers;;;;1
Sat Feb 7 2015;;Sacramento Kings;;Utah Jazz;;;;0
Sat Feb 7 2015;;Brooklyn Nets;;Washington Wizards;;;;0
Sun Feb 8 2015;;Indiana Pacers;;Charlotte Hornets;;;;0
Sun Feb 8 2015;;Los Angeles Lakers;;Cleveland Cavaliers;;;;0
Sun Feb 8 2015;;Minnesota Timberwolves;;Detroit Pistons;;;;0
Sun Feb 8 2015;;Portland Trail Blazers;;Houston Rockets;;;;0
Sun Feb 8 2015;;Atlanta Hawks;;Memphis Grizzlies;;;;1
Sun Feb 8 2015;;Los Angeles Clippers;;Oklahoma City Thunder;;;;1
Sun Feb 8 2015;;Chicago Bulls;;Orlando Magic;;;;0
Sun Feb 8 2015;;Phoenix Suns;;Sacramento Kings;;;;0
Sun Feb 8 2015;;San Antonio Spurs;;Toronto Raptors;;;;0
Mon Feb 9 2015;;Los Angeles Clippers;;Dallas Mavericks;;;;0
Mon Feb 9 2015;;Oklahoma City Thunder;;Denver Nuggets;;;;1
Mon Feb 9 2015;;San Antonio Spurs;;Indiana Pacers;;;;0
Mon Feb 9 2015;;New York Knicks;;Miami Heat;;;;0
Mon Feb 9 2015;;Brooklyn Nets;;Milwaukee Bucks;;;;1
Mon Feb 9 2015;;Atlanta Hawks;;Minnesota Timberwolves;;;;0
Mon Feb 9 2015;;Utah Jazz;;New Orleans Pelicans;;;;1
Mon Feb 9 2015;;Golden State Warriors;;Philadelphia 76ers;;;;0
Mon Feb 9 2015;;Orlando Magic;;Washington Wizards;;;;0
Tue Feb 10 2015;;Sacramento Kings;;Chicago Bulls;;;;0
Tue Feb 10 2015;;Detroit Pistons;;Charlotte Hornets;;;;1
Tue Feb 10 2015;;Denver Nuggets;;Los Angeles Lakers;;;;0
Tue Feb 10 2015;;Brooklyn Nets;;Memphis Grizzlies;;;;1
Tue Feb 10 2015;;Houston Rockets;;Phoenix Suns;;;;1
Wed Feb 11 2015;;Atlanta Hawks;;Boston Celtics;;;;0
Wed Feb 11 2015;;Miami Heat;;Cleveland Cavaliers;;;;0
Wed Feb 11 2015;;Utah Jazz;;Dallas Mavericks;;;;1
Wed Feb 11 2015;;San Antonio Spurs;;Detroit Pistons;;;;0
Wed Feb 11 2015;;Houston Rockets;;Los Angeles Clippers;;;;0
Wed Feb 11 2015;;Sacramento Kings;;Milwaukee Bucks;;;;1
Wed Feb 11 2015;;Golden State Warriors;;Minnesota Timberwolves;;;;0
Wed Feb 11 2015;;Indiana Pacers;;New Orleans Pelicans;;;;1
Wed Feb 11 2015;;Memphis Grizzlies;;Oklahoma City Thunder;;;;0
Wed Feb 11 2015;;New York Knicks;;Orlando Magic;;;;0
Wed Feb 11 2015;;Los Angeles Lakers;;Portland Trail Blazers;;;;0
Wed Feb 11 2015;;Washington Wizards;;Toronto Raptors;;;;0
Thu Feb 12 2015;;Cleveland Cavaliers;;Chicago Bulls;;;;0
Thu Feb 19 2015;;San Antonio Spurs;;Los Angeles Clippers;;;;1
Thu Feb 19 2015;;Dallas Mavericks;;Oklahoma City Thunder;;;;0
Fri Feb 20 2015;;Toronto Raptors;;Atlanta Hawks;;;;0
Fri Feb 20 2015;;Houston Rockets;;Dallas Mavericks;;;;1
Fri Feb 20 2015;;Chicago Bulls;;Detroit Pistons;;;;0
Fri Feb 20 2015;;San Antonio Spurs;;Golden State Warriors;;;;1
Fri Feb 20 2015;;Brooklyn Nets;;Los Angeles Lakers;;;;0
Fri Feb 20 2015;;Denver Nuggets;;Milwaukee Bucks;;;;1
Fri Feb 20 2015;;Phoenix Suns;;Minnesota Timberwolves;;;;1
Fri Feb 20 2015;;Miami Heat;;New York Knicks;;;;1
Fri Feb 20 2015;;New Orleans Pelicans;;Orlando Magic;;;;1
Fri Feb 20 2015;;Indiana Pacers;;Philadelphia 76ers;;;;0
Fri Feb 20 2015;;Boston Celtics;;Sacramento Kings;;;;1
Fri Feb 20 2015;;Portland Trail Blazers;;Utah Jazz;;;;0
Fri Feb 20 2015;;Cleveland Cavaliers;;Washington Wizards;;;;0
Sat Feb 21 2015;;Phoenix Suns;;Chicago Bulls;;;;1
Sat Feb 21 2015;;Oklahoma City Thunder;;Charlotte Hornets;;;;0
Sat Feb 21 2015;;Toronto Raptors;;Houston Rockets;;;;0
Sat Feb 21 2015;;Sacramento Kings;;Los Angeles Clippers;;;;1
Sat Feb 21 2015;;New Orleans Pelicans;;Miami Heat;;;;0
Sun Feb 22 2015;;Charlotte Hornets;;Dallas Mavericks;;;;1
Sun Feb 22 2015;;Washington Wizards;;Detroit Pistons;;;;1
Sun Feb 22 2015;;Golden State Warriors;;Indiana Pacers;;;;1
Sun Feb 22 2015;;Boston Celtics;;Los Angeles Lakers;;;;1
Sun Feb 22 2015;;Atlanta Hawks;;Milwaukee Bucks;;;;1
Sun Feb 22 2015;;Cleveland Cavaliers;;New York Knicks;;;;0
Sun Feb 22 2015;;Denver Nuggets;;Oklahoma City Thunder;;;;0
Sun Feb 22 2015;;Philadelphia 76ers;;Orlando Magic;;;;0
Sun Feb 22 2015;;Memphis Grizzlies;;Portland Trail Blazers;;;;0
Mon Feb 23 2015;;Milwaukee Bucks;;Chicago Bulls;;;;0
Mon Feb 23 2015;;Brooklyn Nets;;Denver Nuggets;;;;0
Mon Feb 23 2015;;Minnesota Timberwolves;;Houston Rockets;;;;0
Mon Feb 23 2015;;Memphis Grizzlies;;Los Angeles Clippers;;;;0
Mon Feb 23 2015;;Philadelphia 76ers;;Miami Heat;;;;1
Mon Feb 23 2015;;Toronto Raptors;;New Orleans Pelicans;;;;0
Mon Feb 23 2015;;Boston Celtics;;Phoenix Suns;;;;1
Mon Feb 23 2015;;San Antonio Spurs;;Utah Jazz;;;;0
Tue Feb 24 2015;;Toronto Raptors;;Dallas Mavericks;;;;1
Tue Feb 24 2015;;Cleveland Cavaliers;;Detroit Pistons;;;;0
Tue Feb 24 2015;;Indiana Pacers;;Oklahoma City Thunder;;;;1
Tue Feb 24 2015;;Golden State Warriors;;Washington Wizards;;;;0
Wed Feb 25 2015;;Dallas Mavericks;;Atlanta Hawks;;;;0
Wed Feb 25 2015;;New York Knicks;;Boston Celtics;;;;0
Wed Feb 25 2015;;Charlotte Hornets;;Chicago Bulls;;;;1
Wed Feb 25 2015;;Phoenix Suns;;Denver Nuggets;;;;0
Wed Feb 25 2015;;Los Angeles Clippers;;Houston Rockets;;;;0
Wed Feb 25 2015;;Philadelphia 76ers;;Milwaukee Bucks;;;;1
Wed Feb 25 2015;;Washington Wizards;;Minnesota Timberwolves;;;;0
Wed Feb 25 2015;;Brooklyn Nets;;New Orleans Pelicans;;;;0
Wed Feb 25 2015;;Miami Heat;;Orlando Magic;;;;0
Wed Feb 25 2015;;San Antonio Spurs;;Portland Trail Blazers;;;;1
Wed Feb 25 2015;;Memphis Grizzlies;;Sacramento Kings;;;;0
Wed Feb 25 2015;;Los Angeles Lakers;;Utah Jazz;;;;1
Thu Feb 26 2015;;Golden State Warriors;;Cleveland Cavaliers;;;;0
Thu Feb 26 2015;;Oklahoma City Thunder;;Phoenix Suns;;;;0
Fri Feb 27 2015;;Orlando Magic;;Atlanta Hawks;;;;0
Fri Feb 27 2015;;Charlotte Hornets;;Boston Celtics;;;;0
Fri Feb 27 2015;;Minnesota Timberwolves;;Chicago Bulls;;;;0
Fri Feb 27 2015;;Utah Jazz;;Denver Nuggets;;;;0
Fri Feb 27 2015;;New York Knicks;;Detroit Pistons;;;;0
Fri Feb 27 2015;;Brooklyn Nets;;Houston Rockets;;;;1
Fri Feb 27 2015;;Cleveland Cavaliers;;Indiana Pacers;;;;1
Fri Feb 27 2015;;Milwaukee Bucks;;Los Angeles Lakers;;;;0
Fri Feb 27 2015;;Los Angeles Clippers;;Memphis Grizzlies;;;;0
Fri Feb 27 2015;;Miami Heat;;New Orleans Pelicans;;;;1
Fri Feb 27 2015;;Washington Wizards;;Philadelphia 76ers;;;;0
Fri Feb 27 2015;;Oklahoma City Thunder;;Portland Trail Blazers;;;;1
Fri Feb 27 2015;;San Antonio Spurs;;Sacramento Kings;;;;1
Fri Feb 27 2015;;Golden State Warriors;;Toronto Raptors;;;;0
Sat Feb 28 2015;;Brooklyn Nets;;Dallas Mavericks;;;;1
Sat Feb 28 2015;;Atlanta Hawks;;Miami Heat;;;;1
Sat Feb 28 2015;;Memphis Grizzlies;;Minnesota Timberwolves;;;;1
Sat Feb 28 2015;;Toronto Raptors;;New York Knicks;;;;1
Sat Feb 28 2015;;San Antonio Spurs;;Phoenix Suns;;;;0
Sat Feb 28 2015;;Milwaukee Bucks;;Utah Jazz;;;;0
Sat Feb 28 2015;;Detroit Pistons;;Washington Wizards;;;;1
Sun Mar 1 2015;;Golden State Warriors;;Boston Celtics;;;;0
Sun Mar 1 2015;;Los Angeles Clippers;;Chicago Bulls;;;;1
Sun Mar 1 2015;;New Orleans Pelicans;;Denver Nuggets;;;;0
Sun Mar 1 2015;;Cleveland Cavaliers;;Houston Rockets;;;;0
Sun Mar 1 2015;;Philadelphia 76ers;;Indiana Pacers;;;;1
Sun Mar 1 2015;;Oklahoma City Thunder;;Los Angeles Lakers;;;;0
Sun Mar 1 2015;;Charlotte Hornets;;Orlando Magic;;;;1
Sun Mar 1 2015;;Portland Trail Blazers;;Sacramento Kings;;;;1
Mon Mar 2 2015;;Golden State Warriors;;Brooklyn Nets;;;;0
Mon Mar 2 2015;;New Orleans Pelicans;;Dallas Mavericks;;;;1
Mon Mar 2 2015;;Phoenix Suns;;Miami Heat;;;;1
Mon Mar 2 2015;;Los Angeles Clippers;;Minnesota Timberwolves;;;;1
Mon Mar 2 2015;;Toronto Raptors;;Philadelphia 76ers;;;;0
Tue Mar 3 2015;;Houston Rockets;;Atlanta Hawks;;;;0
Tue Mar 3 2015;;Washington Wizards;;Chicago Bulls;;;;0
Tue Mar 3 2015;;Los Angeles Lakers;;Charlotte Hornets;;;;0
Tue Mar 3 2015;;Boston Celtics;;Cleveland Cavaliers;;;;0
Tue Mar 3 2015;;Milwaukee Bucks;;Denver Nuggets;;;;0
Tue Mar 3 2015;;Utah Jazz;;Memphis Grizzlies;;;;0
Wed Mar 4 2015;;Utah Jazz;;Boston Celtics;;;;0
Wed Mar 4 2015;;Charlotte Hornets;;Brooklyn Nets;;;;0
Wed Mar 4 2015;;Milwaukee Bucks;;Golden State Warriors;;;;0
Wed Mar 4 2015;;Memphis Grizzlies;;Houston Rockets;;;;0
Wed Mar 4 2015;;New York Knicks;;Indiana Pacers;;;;0
Wed Mar 4 2015;;Portland Trail Blazers;;Los Angeles Clippers;;;;0
Wed Mar 4 2015;;Los Angeles Lakers;;Miami Heat;;;;1
Wed Mar 4 2015;;Denver Nuggets;;Minnesota Timberwolves;;;;0
Wed Mar 4 2015;;Detroit Pistons;;New Orleans Pelicans;;;;0
Wed Mar 4 2015;;Philadelphia 76ers;;Oklahoma City Thunder;;;;1
Wed Mar 4 2015;;Phoenix Suns;;Orlando Magic;;;;0
Wed Mar 4 2015;;Sacramento Kings;;San Antonio Spurs;;;;0
Wed Mar 4 2015;;Cleveland Cavaliers;;Toronto Raptors;;;;0
Thu Mar 5 2015;;Oklahoma City Thunder;;Chicago Bulls;;;;0
Thu Mar 5 2015;;Dallas Mavericks;;Portland Trail Blazers;;;;0
Fri Mar 6 2015;;Cleveland Cavaliers;;Atlanta Hawks;;;;1
Fri Mar 6 2015;;Phoenix Suns;;Brooklyn Nets;;;;1
Fri Mar 6 2015;;Toronto Raptors;;Charlotte Hornets;;;;0
Fri Mar 6 2015;;Dallas Mavericks;;Golden State Warriors;;;;0
Fri Mar 6 2015;;Detroit Pistons;;Houston Rockets;;;;1
Fri Mar 6 2015;;Chicago Bulls;;Indiana Pacers;;;;0
Fri Mar 6 2015;;Los Angeles Lakers;;Memphis Grizzlies;;;;0
Fri Mar 6 2015;;Boston Celtics;;New Orleans Pelicans;;;;1
Fri Mar 6 2015;;Sacramento Kings;;Orlando Magic;;;;1
Fri Mar 6 2015;;Utah Jazz;;Philadelphia 76ers;;;;0
Fri Mar 6 2015;;Denver Nuggets;;San Antonio Spurs;;;;0
Fri Mar 6 2015;;Miami Heat;;Washington Wizards;;;;0
Sat Mar 7 2015;;Phoenix Suns;;Cleveland Cavaliers;;;;1
Sat Mar 7 2015;;Houston Rockets;;Denver Nuggets;;;;0
Sat Mar 7 2015;;Sacramento Kings;;Miami Heat;;;;1
Sat Mar 7 2015;;Washington Wizards;;Milwaukee Bucks;;;;1
Sat Mar 7 2015;;Portland Trail Blazers;;Minnesota Timberwolves;;;;1
Sat Mar 7 2015;;Memphis Grizzlies;;New Orleans Pelicans;;;;0
Sat Mar 7 2015;;Indiana Pacers;;New York Knicks;;;;1
Sat Mar 7 2015;;Atlanta Hawks;;Philadelphia 76ers;;;;0
Sun Mar 8 2015;;Utah Jazz;;Brooklyn Nets;;;;0
Sun Mar 8 2015;;Charlotte Hornets;;Detroit Pistons;;;;0
Sun Mar 8 2015;;Los Angeles Clippers;;Golden State Warriors;;;;1
Sun Mar 8 2015;;Dallas Mavericks;;Los Angeles Lakers;;;;1
Sun Mar 8 2015;;Toronto Raptors;;Oklahoma City Thunder;;;;1
Sun Mar 8 2015;;Boston Celtics;;Orlando Magic;;;;0
Sun Mar 8 2015;;Chicago Bulls;;San Antonio Spurs;;;;0
Mon Mar 9 2015;;Sacramento Kings;;Atlanta Hawks;;;;0
Mon Mar 9 2015;;Memphis Grizzlies;;Chicago Bulls;;;;1
Mon Mar 9 2015;;Washington Wizards;;Charlotte Hornets;;;;0
Mon Mar 9 2015;;New York Knicks;;Denver Nuggets;;;;0
Mon Mar 9 2015;;Minnesota Timberwolves;;Los Angeles Clippers;;;;0
Mon Mar 9 2015;;Boston Celtics;;Miami Heat;;;;1
Mon Mar 9 2015;;New Orleans Pelicans;;Milwaukee Bucks;;;;1
Mon Mar 9 2015;;Golden State Warriors;;Phoenix Suns;;;;1
Tue Mar 10 2015;;New Orleans Pelicans;;Brooklyn Nets;;;;0
Tue Mar 10 2015;;Cleveland Cavaliers;;Dallas Mavericks;;;;0
Tue Mar 10 2015;;Orlando Magic;;Indiana Pacers;;;;0
Tue Mar 10 2015;;Detroit Pistons;;Los Angeles Lakers;;;;0
Tue Mar 10 2015;;Toronto Raptors;;San Antonio Spurs;;;;0
Tue Mar 10 2015;;New York Knicks;;Utah Jazz;;;;1
Wed Mar 11 2015;;Memphis Grizzlies;;Boston Celtics;;;;1
Wed Mar 11 2015;;Sacramento Kings;;Charlotte Hornets;;;;1
Wed Mar 11 2015;;Atlanta Hawks;;Denver Nuggets;;;;0
Wed Mar 11 2015;;Detroit Pistons;;Golden State Warriors;;;;0
Wed Mar 11 2015;;Brooklyn Nets;;Miami Heat;;;;0
Wed Mar 11 2015;;Orlando Magic;;Milwaukee Bucks;;;;1
Wed Mar 11 2015;;Los Angeles Clippers;;Oklahoma City Thunder;;;;1
Wed Mar 11 2015;;Chicago Bulls;;Philadelphia 76ers;;;;0
Wed Mar 11 2015;;Minnesota Timberwolves;;Phoenix Suns;;;;0
Wed Mar 11 2015;;Houston Rockets;;Portland Trail Blazers;;;;1
Thu Mar 12 2015;;Milwaukee Bucks;;Indiana Pacers;;;;1
Thu Mar 12 2015;;New York Knicks;;Los Angeles Lakers;;;;0
Thu Mar 12 2015;;Cleveland Cavaliers;;San Antonio Spurs;;;;1
Thu Mar 12 2015;;Houston Rockets;;Utah Jazz;;;;0
Thu Mar 12 2015;;Memphis Grizzlies;;Washington Wizards;;;;0
Fri Mar 13 2015;;Orlando Magic;;Boston Celtics;;;;1
Fri Mar 13 2015;;Chicago Bulls;;Charlotte Hornets;;;;0
Fri Mar 13 2015;;Los Angeles Clippers;;Dallas Mavericks;;;;1
Fri Mar 13 2015;;Golden State Warriors;;Denver Nuggets;;;;0
Fri Mar 13 2015;;Minnesota Timberwolves;;Oklahoma City Thunder;;;;1
Fri Mar 13 2015;;Sacramento Kings;;Philadelphia 76ers;;;;1
Fri Mar 13 2015;;Atlanta Hawks;;Phoenix Suns;;;;0
Fri Mar 13 2015;;Detroit Pistons;;Portland Trail Blazers;;;;0
Fri Mar 13 2015;;Miami Heat;;Toronto Raptors;;;;0
Sat Mar 14 2015;;New York Knicks;;Golden State Warriors;;;;1
Sat Mar 14 2015;;Boston Celtics;;Indiana Pacers;;;;0
Sat Mar 14 2015;;Milwaukee Bucks;;Memphis Grizzlies;;;;1
Sat Mar 14 2015;;Brooklyn Nets;;Philadelphia 76ers;;;;0
Sat Mar 14 2015;;Detroit Pistons;;Utah Jazz;;;;0
Sat Mar 14 2015;;Sacramento Kings;;Washington Wizards;;;;0
Sun Mar 15 2015;;Houston Rockets;;Los Angeles Clippers;;;;1
Sun Mar 15 2015;;Atlanta Hawks;;Los Angeles Lakers;;;;0
Sun Mar 15 2015;;Denver Nuggets;;New Orleans Pelicans;;;;1
Sun Mar 15 2015;;Chicago Bulls;;Oklahoma City Thunder;;;;1
Sun Mar 15 2015;;Cleveland Cavaliers;;Orlando Magic;;;;0
Sun Mar 15 2015;;New York Knicks;;Phoenix Suns;;;;0
Sun Mar 15 2015;;Minnesota Timberwolves;;San Antonio Spurs;;;;0
Sun Mar 15 2015;;Portland Trail Blazers;;Toronto Raptors;;;;0
Mon Mar 16 2015;;Philadelphia 76ers;;Boston Celtics;;;;0
Mon Mar 16 2015;;Oklahoma City Thunder;;Dallas Mavericks;;;;0
Mon Mar 16 2015;;Los Angeles Lakers;;Golden State Warriors;;;;1
Mon Mar 16 2015;;Toronto Raptors;;Indiana Pacers;;;;0
Mon Mar 16 2015;;Denver Nuggets;;Memphis Grizzlies;;;;1
Mon Mar 16 2015;;Cleveland Cavaliers;;Miami Heat;;;;1
Mon Mar 16 2015;;Brooklyn Nets;;Minnesota Timberwolves;;;;0
Mon Mar 16 2015;;Atlanta Hawks;;Sacramento Kings;;;;0
Mon Mar 16 2015;;Charlotte Hornets;;Utah Jazz;;;;0
Mon Mar 16 2015;;Portland Trail Blazers;;Washington Wizards;;;;1
Tue Mar 17 2015;;Memphis Grizzlies;;Detroit Pistons;;;;0
Tue Mar 17 2015;;Orlando Magic;;Houston Rockets;;;;0
Tue Mar 17 2015;;Charlotte Hornets;;Los Angeles Clippers;;;;0
Tue Mar 17 2015;;Milwaukee Bucks;;New Orleans Pelicans;;;;1
Tue Mar 17 2015;;San Antonio Spurs;;New York Knicks;;;;0
Wed Mar 18 2015;;Indiana Pacers;;Chicago Bulls;;;;0
Wed Mar 18 2015;;Brooklyn Nets;;Cleveland Cavaliers;;;;0
Wed Mar 18 2015;;Orlando Magic;;Dallas Mavericks;;;;0
Wed Mar 18 2015;;Atlanta Hawks;;Golden State Warriors;;;;1
Wed Mar 18 2015;;Portland Trail Blazers;;Miami Heat;;;;1
Wed Mar 18 2015;;San Antonio Spurs;;Milwaukee Bucks;;;;0
Wed Mar 18 2015;;Boston Celtics;;Oklahoma City Thunder;;;;1
Wed Mar 18 2015;;Detroit Pistons;;Philadelphia 76ers;;;;1
Wed Mar 18 2015;;Los Angeles Clippers;;Sacramento Kings;;;;0
Wed Mar 18 2015;;Minnesota Timberwolves;;Toronto Raptors;;;;1
Wed Mar 18 2015;;Washington Wizards;;Utah Jazz;;;;0
Thu Mar 19 2015;;Denver Nuggets;;Houston Rockets;;;;1
Thu Mar 19 2015;;Utah Jazz;;Los Angeles Lakers;;;;0
Thu Mar 19 2015;;Minnesota Timberwolves;;New York Knicks;;;;0
Thu Mar 19 2015;;New Orleans Pelicans;;Phoenix Suns;;;;0
Fri Mar 20 2015;;Milwaukee Bucks;;Brooklyn Nets;;;;0
Fri Mar 20 2015;;Toronto Raptors;;Chicago Bulls;;;;0
Fri Mar 20 2015;;Indiana Pacers;;Cleveland Cavaliers;;;;0
Fri Mar 20 2015;;Memphis Grizzlies;;Dallas Mavericks;;;;0
Fri Mar 20 2015;;New Orleans Pelicans;;Golden State Warriors;;;;0
Fri Mar 20 2015;;Washington Wizards;;Los Angeles Clippers;;;;0
Fri Mar 20 2015;;Denver Nuggets;;Miami Heat;;;;1
Fri Mar 20 2015;;Atlanta Hawks;;Oklahoma City Thunder;;;;1
Fri Mar 20 2015;;Portland Trail Blazers;;Orlando Magic;;;;1
Fri Mar 20 2015;;New York Knicks;;Philadelphia 76ers;;;;0
Fri Mar 20 2015;;Charlotte Hornets;;Sacramento Kings;;;;0
Fri Mar 20 2015;;Boston Celtics;;San Antonio Spurs;;;;1
Sat Mar 21 2015;;Chicago Bulls;;Detroit Pistons;;;;0
Sat Mar 21 2015;;Utah Jazz;;Golden State Warriors;;;;0
Sat Mar 21 2015;;Phoenix Suns;;Houston Rockets;;;;1
Sat Mar 21 2015;;Brooklyn Nets;;Indiana Pacers;;;;0
Sat Mar 21 2015;;Portland Trail Blazers;;Memphis Grizzlies;;;;0
Sun Mar 22 2015;;San Antonio Spurs;;Atlanta Hawks;;;;0
Sun Mar 22 2015;;Detroit Pistons;;Boston Celtics;;;;0
Sun Mar 22 2015;;New Orleans Pelicans;;Los Angeles Clippers;;;;0
Sun Mar 22 2015;;Philadelphia 76ers;;Los Angeles Lakers;;;;1
Sun Mar 22 2015;;Cleveland Cavaliers;;Milwaukee Bucks;;;;1
Sun Mar 22 2015;;Charlotte Hornets;;Minnesota Timberwolves;;;;0
Sun Mar 22 2015;;Miami Heat;;Oklahoma City Thunder;;;;1
Sun Mar 22 2015;;Denver Nuggets;;Orlando Magic;;;;1
Sun Mar 22 2015;;Dallas Mavericks;;Phoenix Suns;;;;0
